Gene symbol	Gene name	Transcript	Exons in transcript	CDS length
NKX3-2	NK3 homeobox 2	NM_001189.4	2	1002
NKX6-1	NK6 homeobox 1	NM_006168.3	3	1104
NKX6-2	NK6 homeobox 2	NM_177400.3	3	834
NKX6-3	NK6 homeobox 3	NM_152568.3	2	408
NLE1	notchless homolog 1	NM_018096.5	13	1458
NLGN1	neuroligin 1	NM_014932.5	7	2472
NLGN2	neuroligin 2	NM_020795.4	7	2508
NLGN3	neuroligin 3	NM_018977.4	7	2487
NLGN4X	neuroligin 4 X-linked	NM_020742.4	6	2451
NLGN4Y	neuroligin 4 Y-linked	NM_014893.5	6	2451
NLK	nemo like kinase	NM_016231.5	11	1584
NLN	neurolysin	NM_020726.5	13	2115
NLRC3	NLR family CARD domain containing 3	NM_178844.4	20	3198
NLRC4	NLR family CARD domain containing 4	NM_021209.4	9	3075
NLRC5	NLR family CARD domain containing 5	NM_032206.5	49	5601
NLRP1	NLR family pyrin domain containing 1	NM_033004.4	17	4422
NLRP10	NLR family pyrin domain containing 10	NM_176821.4	2	1968
NLRP11	NLR family pyrin domain containing 11	NM_145007.5	12	3102
NLRP12	NLR family pyrin domain containing 12	NM_144687.4	10	3186
NLRP13	NLR family pyrin domain containing 13	NM_176810.2	11	3132
NLRP14	NLR family pyrin domain containing 14	NM_176822.4	12	3282
NLRP2	NLR family pyrin domain containing 2	NM_017852.5	13	3189
NLRP2B	NLR family pyrin domain containing 2B	NM_001319967.1	1	138
NLRP3	NLR family pyrin domain containing 3	NM_004895.5	10	3111
NLRP4	NLR family pyrin domain containing 4	NM_134444.5	10	2985
NLRP5	NLR family pyrin domain containing 5	NM_153447.4	15	3603
NLRP6	NLR family pyrin domain containing 6	NM_138329.2	8	2679
NLRP7	NLR family pyrin domain containing 7	NM_206828.3	10	2943
NLRP8	NLR family pyrin domain containing 8	NM_176811.2	10	3147
NLRP9	NLR family pyrin domain containing 9	NM_176820.4	9	2976
NLRX1	NLR family member X1	NM_024618.4	10	2928
NMB	neuromedin B	NM_205858.2	3	465
NMBR	neuromedin B receptor	NM_002511.4	4	1173
NMD3	NMD3 ribosome export adaptor	NM_001320227.2	17	1590
NME1	NME/NM23 nucleoside diphosphate kinase 1	NM_000269.3	5	459
NME1-NME2	NME1-NME2 readthrough	NM_001018136.3	8	804
NME2	NME/NM23 nucleoside diphosphate kinase 2	NM_001018137.3	5	459
NME3	NME/NM23 nucleoside diphosphate kinase 3	NM_002513.3	5	510
NME4	NME/NM23 nucleoside diphosphate kinase 4	NM_005009.3	5	564
NME5	NME/NM23 family member 5	NM_003551.3	6	639
NME6	NME/NM23 nucleoside diphosphate kinase 6	NM_005793.5	6	585
NME7	NME/NM23 family member 7	NM_013330.5	12	1131
NME8	NME/NM23 family member 8	NM_016616.5	18	1767
NME9	NME/NM23 family member 9	NM_178130.4	12	792
NMI	N-myc and STAT interactor	NM_004688.3	8	924
NMNAT1	nicotinamide nucleotide adenylyltransferase 1	NM_022787.4	5	840
NMNAT2	nicotinamide nucleotide adenylyltransferase 2	NM_015039.4	11	924
NMNAT3	nicotinamide nucleotide adenylyltransferase 3	NM_001320510.2	7	1041
NMRAL1	NmrA like redox sensor 1	NM_001305141.3	6	900
NMRK1	nicotinamide riboside kinase 1	NM_017881.3	9	600
NMRK2	nicotinamide riboside kinase 2	NM_001289117.2	8	708
NMS	neuromedin S	NM_001011717.1	10	462
NMT1	N-myristoyltransferase 1	NM_021079.5	12	1491
NMT2	N-myristoyltransferase 2	NM_004808.3	12	1497
NMU	neuromedin U	NM_006681.4	10	525
NMUR1	neuromedin U receptor 1	NM_006056.5	3	1281
NMUR2	neuromedin U receptor 2	NM_020167.5	4	1248
NNAT	neuronatin	NM_001322802.2	3	378
NNMT	nicotinamide N-methyltransferase	NM_006169.3	3	795
NNT	nicotinamide nucleotide transhydrogenase	NM_012343.4	22	3261
NOA1	nitric oxide associated 1	NM_032313.4	7	2097
NOB1	NIN1 (RPN12) binding protein 1 homolog	NM_014062.3	9	1239
NOBOX	NOBOX oogenesis homeobox	NM_001080413.3	10	2076
NOC2L	NOC2 like nucleolar associated transcriptional repressor	NM_015658.4	19	2250
NOC3L	NOC3 like DNA replication regulator	NM_022451.11	21	2403
NOC4L	nucleolar complex associated 4 homolog	NM_024078.3	15	1551
NOCT	nocturnin	NM_012118.4	3	1296
NOD1	nucleotide binding oligomerization domain containing 1	NM_006092.4	14	2862
NOD2	nucleotide binding oligomerization domain containing 2	NM_022162.3	12	3123
NODAL	nodal growth differentiation factor	NM_018055.5	3	1044
NOG	noggin	NM_005450.6	1	699
NOL10	nucleolar protein 10	NM_024894.4	21	2067
NOL11	nucleolar protein 11	NM_015462.5	18	2160
NOL12	nucleolar protein 12	NM_024313.3	6	642
NOL3	nucleolar protein 3	NM_001276312.3	6	627
NOL4	nucleolar protein 4	NM_003787.5	11	1917
NOL4L	nucleolar protein 4 like	NM_001256798.2	11	2043
NOL6	nucleolar protein 6	NM_139235.4	16	2100
NOL7	nucleolar protein 7	NM_001317724.2	9	774
NOL8	nucleolar protein 8	NM_017948.6	17	3504
NOL9	nucleolar protein 9	NM_024654.5	12	2109
NOLC1	nucleolar and coiled-body phosphoprotein 1	NM_001284388.2	13	2130
NOM1	nucleolar protein with MIF4G domain 1	NM_138400.2	11	2583
NOMO1	NODAL modulator 1	NM_014287.4	31	3669
NOMO2	NODAL modulator 2	NM_001004060.2	32	3804
NOMO3	NODAL modulator 3	NM_001004067.4	31	3669
NONO	non-POU domain containing octamer binding	NM_001145408.2	13	1416
NOP10	NOP10 ribonucleoprotein	NM_018648.4	2	195
NOP14	NOP14 nucleolar protein	NM_003703.3	19	2574
NOP16	NOP16 nucleolar protein	NM_001256539.4	5	697
NOP2	NOP2 nucleolar protein	NM_001258309.2	17	2538
NOP53	NOP53 ribosome biogenesis factor	NM_015710.5	13	1437
NOP56	NOP56 ribonucleoprotein	NM_006392.4	12	1785
NOP58	NOP58 ribonucleoprotein	NM_015934.5	15	1590
NOP9	NOP9 nucleolar protein	NM_174913.3	10	1911
NOPCHAP1	NOP protein chaperone 1	NM_152318.3	4	558
NOS1	nitric oxide synthase 1	NM_000620.5	29	4305
NOS1AP	nitric oxide synthase 1 adaptor protein	NM_014697.3	10	1521
NOS2	nitric oxide synthase 2	NM_000625.4	27	3462
NOS3	nitric oxide synthase 3	NM_000603.5	27	3612
NOSIP	nitric oxide synthase interacting protein	NM_001270960.2	9	906
NOSTRIN	nitric oxide synthase trafficking	NM_001171631.2	21	1692
NOTCH1	notch receptor 1	NM_017617.5	34	7668
NOTCH2	notch receptor 2	NM_024408.4	34	7416
NOTCH2NLA	notch 2 N-terminal like A	NM_203458.6	5	711
NOTCH3	notch receptor 3	NM_000435.3	33	6966
NOTCH4	notch receptor 4	NM_004557.4	30	6012
NOTO	notochord homeobox	NM_001134462.2	3	756
NOTUM	notum, palmitoleoyl-protein carboxylesterase	NM_178493.6	11	1491
NOVA1	NOVA alternative splicing regulator 1	NM_002515.3	5	1524
NOVA2	NOVA alternative splicing regulator 2	NM_002516.4	4	1479
NOX1	NADPH oxidase 1	NM_007052.5	13	1695
NOX3	NADPH oxidase 3	NM_015718.3	14	1707
NOX4	NADPH oxidase 4	NM_001291927.1	18	1800
NOX5	NADPH oxidase 5	NM_024505.4	16	2298
NOXA1	NADPH oxidase activator 1	NM_006647.2	14	1452
NOXO1	NADPH oxidase organizer 1	NM_172168.3	8	1131
NOXRED1	NADP dependent oxidoreductase domain containing 1	NM_001113475.3	6	1080
NPAP1	nuclear pore associated protein 1	NM_018958.3	1	3471
NPAS1	neuronal PAS domain protein 1	NM_002517.4	12	1773
NPAS2	neuronal PAS domain protein 2	NM_002518.4	21	2475
NPAS3	neuronal PAS domain protein 3	NM_173159.3	12	2763
NPAS4	neuronal PAS domain protein 4	NM_178864.4	8	2409
NPAT	nuclear protein, coactivator of histone transcription	NM_002519.3	18	4284
NPB	neuropeptide B	NM_148896.5	2	378
NPBWR1	neuropeptides B and W receptor 1	NM_005285.5	2	987
NPBWR2	neuropeptides B and W receptor 2	NM_005286.4	2	1002
NPC1	NPC intracellular cholesterol transporter 1	NM_000271.5	25	3837
NPC1L1	NPC1 like intracellular cholesterol transporter 1	NM_013389.3	20	4080
NPC2	NPC intracellular cholesterol transporter 2	NM_006432.5	5	456
NPDC1	neural proliferation, differentiation and control 1	NM_015392.4	9	978
NPEPL1	aminopeptidase like 1	NM_024663.4	12	1572
NPEPPS	aminopeptidase puromycin sensitive	NM_006310.4	23	2760
NPFF	neuropeptide FF-amide peptide precursor	NM_001320296.2	2	351
NPFFR1	neuropeptide FF receptor 1	NM_022146.5	4	1293
NPFFR2	neuropeptide FF receptor 2	NM_004885.3	4	1263
NPHP1	nephrocystin 1	NM_000272.5	20	2202
NPHP3	nephrocystin 3	NM_153240.5	27	3993
NPHP4	nephrocystin 4	NM_015102.5	30	4281
NPHS1	NPHS1 adhesion molecule, nephrin	NM_004646.4	29	3726
NPHS2	NPHS2 stomatin family member, podocin	NM_014625.4	8	1152
NPIPA1	nuclear pore complex interacting protein family member A1	NM_006985.4	8	1053
NPIPA2	nuclear pore complex interacting protein family member A2	NM_001277324.3	12	1053
NPIPA3	nuclear pore complex interacting protein family member A3	NM_001277323.2	12	1053
NPIPA5	nuclear pore complex interacting protein family member A5	NM_001277325.2	8	1053
NPIPA7	nuclear pore complex interacting protein family member A7	NM_001282507.2	8	1110
NPIPA8	nuclear pore complex interacting protein family member A8	NM_001282511.3	10	1110
NPIPA9	nuclear pore complex interacting protein family, member A9	NM_001401710.1	8	1110
NPIPB11	nuclear pore complex interacting protein family member B11	NM_001310137.5	8	3486
NPIPB12	nuclear pore complex interacting protein family member B12	NM_001355401.2	8	2787
NPIPB13	nuclear pore complex interacting protein family, member B13	NM_001321892.3	9	3417
NPIPB15	nuclear pore complex interacting protein family member B15	NM_001306094.2	8	1332
NPIPB2	nuclear pore complex interacting protein family member B2	NM_001355514.1	9	672
NPIPB3	nuclear pore complex interacting protein family member B3	NM_130464.3	9	3399
NPIPB4	nuclear pore complex interacting protein family member B4	NM_001310148.2	8	3669
NPIPB5	nuclear pore complex interacting protein family member B5	NM_001135865.3	9	3402
NPIPB6	nuclear pore complex interacting protein family member B6	NM_001282524.2	9	1278
NPIPB7	nuclear pore complex interacting protein family member B7	NM_001396030.1	7	1245
NPIPB8	nuclear pore complex interacting protein family member B8	NM_001310136.2	8	1299
NPIPB9	nuclear pore complex interacting protein family member B9	NM_001287250.2	7	1299
NPL	N-acetylneuraminate pyruvate lyase	NM_030769.3	13	963
NPLOC4	NPL4 homolog, ubiquitin recognition factor	NM_017921.4	17	1827
NPM1	nucleophosmin 1	NM_002520.7	11	885
NPM2	nucleophosmin/nucleoplasmin 2	NM_001286680.2	10	645
NPM3	nucleophosmin/nucleoplasmin 3	NM_006993.3	6	537
NPNT	nephronectin	NM_001184691.2	13	1788
NPPA	natriuretic peptide A	NM_006172.4	3	456
NPPB	natriuretic peptide B	NM_002521.3	3	405
NPPC	natriuretic peptide C	NM_024409.4	3	381
NPR1	natriuretic peptide receptor 1	NM_000906.4	22	3186
NPR2	natriuretic peptide receptor 2	NM_003995.4	22	3144
NPR3	natriuretic peptide receptor 3	NM_000908.4	8	1623
NPRL2	NPR2 like, GATOR1 complex subunit	NM_006545.5	11	1143
NPRL3	NPR3 like, GATOR1 complex subunit	NM_001077350.3	14	1709
NPS	neuropeptide S	NM_001030013.2	3	270
NPSR1	neuropeptide S receptor 1	NM_207173.2	9	1134
NPTN	neuroplastin	NM_012428.4	9	1197
NPTX1	neuronal pentraxin 1	NM_002522.4	5	1299
NPTX2	neuronal pentraxin 2	NM_002523.3	5	1296
NPTXR	neuronal pentraxin receptor	NM_014293.4	5	1503
NPVF	neuropeptide VF precursor	NM_022150.3	3	591
NPW	neuropeptide W	NM_001099456.3	2	498
NPY	neuropeptide Y	NM_000905.4	4	294
NPY1R	neuropeptide Y receptor Y1	NM_000909.6	3	1155
NPY2R	neuropeptide Y receptor Y2	NM_000910.4	2	1146
NPY4R	neuropeptide Y receptor Y4	NM_005972.6	3	1128
NPY5R	neuropeptide Y receptor Y5	NM_001317091.2	4	1338
NQO1	NAD(P)H quinone dehydrogenase 1	NM_000903.3	6	825
NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	NM_000904.6	7	696
NR0B1	nuclear receptor subfamily 0 group B member 1	NM_000475.5	2	1413
NR0B2	nuclear receptor subfamily 0 group B member 2	NM_021969.3	2	774
NR1D1	nuclear receptor subfamily 1 group D member 1	NM_021724.5	8	1845
NR1D2	nuclear receptor subfamily 1 group D member 2	NM_005126.5	8	1740
NR1H2	nuclear receptor subfamily 1 group H member 2	NM_007121.7	10	1383
NR1H3	nuclear receptor subfamily 1 group H member 3	NM_005693.4	10	1344
NR1H4	nuclear receptor subfamily 1 group H member 4	NM_005123.4	11	1419
NR1I2	nuclear receptor subfamily 1 group I member 2	NM_003889.4	9	1305
NR1I3	nuclear receptor subfamily 1 group I member 3	NM_005122.5	9	1047
NR2C1	nuclear receptor subfamily 2 group C member 1	NM_003297.4	14	1812
NR2C2	nuclear receptor subfamily 2 group C member 2	NM_003298.5	15	1848
NR2C2AP	nuclear receptor 2C2 associated protein	NM_001300945.2	6	504
NR2E1	nuclear receptor subfamily 2 group E member 1	NM_003269.5	9	1158
NR2E3	nuclear receptor subfamily 2 group E member 3	NM_014249.4	8	1233
NR2F1	nuclear receptor subfamily 2 group F member 1	NM_005654.6	3	1272
NR2F2	nuclear receptor subfamily 2 group F member 2	NM_021005.4	3	1245
NR2F6	nuclear receptor subfamily 2 group F member 6	NM_005234.4	4	1215
NR3C1	nuclear receptor subfamily 3 group C member 1	NM_001018077.1	9	2334
NR3C2	nuclear receptor subfamily 3 group C member 2	NM_000901.5	9	2955
NR4A1	nuclear receptor subfamily 4 group A member 1	NM_173157.3	7	1797
NR4A2	nuclear receptor subfamily 4 group A member 2	NM_006186.4	8	1797
NR4A3	nuclear receptor subfamily 4 group A member 3	NM_173200.3	9	1914
NR5A1	nuclear receptor subfamily 5 group A member 1	NM_004959.5	7	1386
NR5A2	nuclear receptor subfamily 5 group A member 2	NM_205860.3	8	1626
NR6A1	nuclear receptor subfamily 6 group A member 1	NM_033334.4	10	1443
NRAP	nebulin related anchoring protein	NM_001261463.2	42	5196
NRARP	NOTCH regulated ankyrin repeat protein	NM_001004354.3	1	345
NRAS	NRAS proto-oncogene, GTPase	NM_002524.5	7	570
NRBF2	nuclear receptor binding factor 2	NM_030759.5	4	864
NRBP1	nuclear receptor binding protein 1	NM_001321358.2	19	1632
NRBP2	nuclear receptor binding protein 2	NM_178564.4	18	1506
NRCAM	neuronal cell adhesion molecule	NM_001037132.4	33	3915
NRDC	nardilysin convertase	NM_002525.3	33	3660
NRDE2	NRDE-2, necessary for RNA interference, domain containing	NM_017970.4	14	3495
NREP	neuronal regeneration related protein	NM_001142475.2	4	339
NRF1	nuclear respiratory factor 1	NM_001293163.2	12	1569
NRG1	neuregulin 1	NM_013956.5	13	1938
NRG2	neuregulin 2	NM_013983.3	11	2559
NRG3	neuregulin 3	NM_001010848.4	9	2091
NRG4	neuregulin 4	NM_138573.4	6	348
NRGN	neurogranin	NM_006176.3	4	237
NRIP1	nuclear receptor interacting protein 1	NM_003489.4	4	3477
NRIP2	nuclear receptor interacting protein 2	NM_031474.3	6	846
NRIP3	nuclear receptor interacting protein 3	NM_020645.3	7	726
NRK	Nik related kinase	NM_198465.4	29	4749
NRL	neural retina leucine zipper	NM_006177.5	4	714
NRM	nurim	NM_001270707.2	4	807
NRN1	neuritin 1	NM_001278711.2	4	507
NRN1L	neuritin 1 like	NM_198443.2	3	498
NRP1	neuropilin 1	NM_003873.7	17	2772
NRP2	neuropilin 2	NM_201266.2	17	2796
NRROS	negative regulator of reactive oxygen species	NM_198565.3	3	2079
NRSN1	neurensin 1	NM_080723.5	4	588
NRSN2	neurensin 2	NM_001323680.2	4	615
NRTN	neurturin	NM_004558.5	3	594
NRXN1	neurexin 1	NM_001135659.3	24	4644
NRXN2	neurexin 2	NM_138732.3	20	4929
NRXN3	neurexin 3	NM_004796.6	17	3186
NSA2	NSA2 ribosome biogenesis factor	NM_014886.6	6	783
NSD1	nuclear receptor binding SET domain protein 1	NM_022455.5	23	8091
NSD2	nuclear receptor binding SET domain protein 2	NM_133330.3	24	4098
NSD3	nuclear receptor binding SET domain protein 3	NM_023034.2	24	4314
NSDHL	NAD(P) dependent steroid dehydrogenase-like	NM_015922.3	8	1122
NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	NM_006178.4	21	2235
NSFL1C	NSFL1 cofactor	NM_001206736.2	10	1119
NSG1	neuronal vesicle trafficking associated 1	NM_001040101.2	5	558
NSG2	neuronal vesicle trafficking associated 2	NM_015980.5	5	516
NSL1	NSL1 component of MIS12 kinetochore complex	NM_015471.4	6	846
NSMAF	neutral sphingomyelinase activation associated factor	NM_001144772.1	31	2847
NSMCE1	NSE1 homolog, SMC5-SMC6 complex component	NM_145080.4	8	801
NSMCE2	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase	NM_173685.4	8	744
NSMCE3	NSE3 homolog, SMC5-SMC6 complex component	NM_138704.4	1	915
NSMCE4A	NSE4 homolog A, SMC5-SMC6 complex component	NM_017615.3	11	1158
NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor	NM_015537.5	15	1587
NSRP1	nuclear speckle splicing regulatory protein 1	NM_032141.4	7	1677
NSUN2	NOP2/Sun RNA methyltransferase 2	NM_017755.6	19	2304
NSUN3	NOP2/Sun RNA methyltransferase 3	NM_022072.5	6	1023
NSUN4	NOP2/Sun RNA methyltransferase 4	NM_199044.4	6	1155
NSUN5	NOP2/Sun RNA methyltransferase 5	NM_001168347.3	10	1413
NSUN6	NOP2/Sun RNA methyltransferase 6	NM_182543.5	11	1410
NSUN7	NOP2/Sun RNA methyltransferase family member 7	NM_024677.6	12	2157
NT5C	5', 3'-nucleotidase, cytosolic	NM_014595.3	5	606
NT5C1A	5'-nucleotidase, cytosolic IA	NM_032526.3	6	1107
NT5C1B	5'-nucleotidase, cytosolic IB	NM_001002006.3	10	1833
NT5C1B-RDH14	NT5C1B-RDH14 readthrough	NM_001199103.2	9	1953
NT5C2	5'-nucleotidase, cytosolic II	NM_012229.5	19	1686
NT5C3A	5'-nucleotidase, cytosolic IIIA	NM_016489.14	10	894
NT5C3B	5'-nucleotidase, cytosolic IIIB	NM_052935.5	9	903
NT5DC1	5'-nucleotidase domain containing 1	NM_152729.3	12	1368
NT5DC2	5'-nucleotidase domain containing 2	NM_001134231.2	14	1674
NT5DC3	5'-nucleotidase domain containing 3	NM_001031701.3	14	1647
NT5DC4	5'-nucleotidase domain containing 4	NM_001350494.2	17	1287
NT5E	5'-nucleotidase ecto	NM_002526.4	9	1725
NT5M	5',3'-nucleotidase, mitochondrial	NM_020201.4	5	687
NTAN1	N-terminal asparagine amidase	NM_173474.4	10	933
NTAQ1	N-terminal glutamine amidase 1	NM_018024.3	6	618
NTF3	neurotrophin 3	NM_002527.5	1	774
NTF4	neurotrophin 4	NM_006179.5	2	633
NTHL1	nth like DNA glycosylase 1	NM_002528.7	6	915
NTM	neurotrimin	NM_001144058.2	8	1068
NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1	NM_001286796.2	4	672
NTMT2	N-terminal Xaa-Pro-Lys N-methyltransferase 2	NM_001136107.2	4	852
NTN1	netrin 1	NM_004822.3	7	1815
NTN3	netrin 3	NM_006181.3	6	1743
NTN4	netrin 4	NM_021229.4	10	1887
NTN5	netrin 5	NM_145807.4	7	1470
NTNG1	netrin G1	NM_014917.4	6	1317
NTNG2	netrin G2	NM_032536.4	8	1593
NTPCR	nucleoside-triphosphatase, cancer-related	NM_032324.3	5	573
NTRK1	neurotrophic receptor tyrosine kinase 1	NM_001012331.2	16	2373
NTRK2	neurotrophic receptor tyrosine kinase 2	NM_006180.6	19	2517
NTRK3	neurotrophic receptor tyrosine kinase 3	NM_001012338.3	20	2520
NTS	neurotensin	NM_006183.5	4	513
NTSR1	neurotensin receptor 1	NM_002531.3	4	1257
NTSR2	neurotensin receptor 2	NM_012344.4	4	1233
NUAK1	NUAK family kinase 1	NM_014840.3	7	1986
NUAK2	NUAK family kinase 2	NM_030952.3	7	1887
NUB1	negative regulator of ubiquitin like proteins 1	NM_001243351.2	15	1848
NUBP1	NUBP iron-sulfur cluster assembly factor 1, cytosolic	NM_002484.4	11	963
NUBP2	NUBP iron-sulfur cluster assembly factor 2, cytosolic	NM_012225.4	7	816
NUBPL	NUBP iron-sulfur cluster assembly factor, mitochondrial	NM_025152.3	11	960
NUCB1	nucleobindin 1	NM_006184.6	13	1386
NUCB2	nucleobindin 2	NM_005013.4	14	1263
NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1	NM_022731.5	7	732
NUDC	nuclear distribution C, dynein complex regulator	NM_006600.4	9	996
NUDCD1	NudC domain containing 1	NM_001128211.2	10	1665
NUDCD2	NudC domain containing 2	NM_145266.6	4	474
NUDCD3	NudC domain containing 3	NM_015332.4	6	1086
NUDT1	nudix hydrolase 1	NM_002452.4	4	471
NUDT10	nudix hydrolase 10	NM_001304963.2	2	495
NUDT11	nudix hydrolase 11	NM_018159.4	2	495
NUDT12	nudix hydrolase 12	NM_031438.4	7	1389
NUDT13	nudix hydrolase 13	NM_015901.6	9	1059
NUDT14	nudix hydrolase 14	NM_177533.5	5	669
NUDT15	nudix hydrolase 15	NM_018283.4	3	495
NUDT16	nudix hydrolase 16	NM_001171906.2	2	684
NUDT16L1	nudix hydrolase 16 like 1	NM_032349.4	3	636
NUDT17	nudix hydrolase 17	NM_001012758.3	8	987
NUDT18	nudix hydrolase 18	NM_024815.4	3	972
NUDT19	nudix hydrolase 19	NM_001105570.2	3	1128
NUDT2	nudix hydrolase 2	NM_001244390.2	3	444
NUDT21	nudix hydrolase 21	NM_007006.3	7	684
NUDT22	nudix hydrolase 22	NM_001128612.3	6	912
NUDT3	nudix hydrolase 3	NM_006703.4	5	519
NUDT4	nudix hydrolase 4	NM_199040.4	5	546
NUDT5	nudix hydrolase 5	NM_014142.4	10	660
NUDT6	nudix hydrolase 6	NM_007083.5	5	951
NUDT7	nudix hydrolase 7	NM_001105663.3	4	717
NUDT8	nudix hydrolase 8	NM_001243750.2	4	711
NUDT9	nudix hydrolase 9	NM_024047.5	8	1053
NUF2	NUF2 component of NDC80 kinetochore complex	NM_031423.4	14	1395
NUFIP1	nuclear FMR1 interacting protein 1	NM_012345.3	10	1488
NUFIP2	nuclear FMR1 interacting protein 2	NM_020772.3	4	2088
NUGGC	nuclear GTPase, germinal center associated	NM_001010906.2	19	2391
NUMA1	nuclear mitotic apparatus protein 1	NM_006185.4	27	6348
NUMB	NUMB endocytic adaptor protein	NM_001005745.2	11	1779
NUMBL	NUMB like endocytic adaptor protein	NM_004756.5	10	1830
NUP107	nucleoporin 107	NM_020401.4	28	2778
NUP133	nucleoporin 133	NM_018230.3	26	3471
NUP153	nucleoporin 153	NM_001278209.2	23	4521
NUP155	nucleoporin 155	NM_153485.3	35	4176
NUP160	nucleoporin 160	NM_015231.3	36	4209
NUP188	nucleoporin 188	NM_015354.3	44	5250
NUP205	nucleoporin 205	NM_015135.3	43	6039
NUP210	nucleoporin 210	NM_024923.4	40	5664
NUP210L	nucleoporin 210 like	NM_207308.2	40	5667
NUP214	nucleoporin 214	NM_005085.4	36	6273
NUP35	nucleoporin 35	NM_138285.5	9	981
NUP37	nucleoporin 37	NM_024057.4	10	981
NUP42	nucleoporin 42	NM_007342.3	7	1272
NUP43	nucleoporin 43	NM_198887.3	8	1143
NUP50	nucleoporin 50	NM_007172.4	8	1407
